編號,公告日期,品名,使用食品範圍及限量標準,使用限制
011,,"阿斯巴甜 Aspartame",本品可於各類食品中視實際需要適量使用。,"限於食品製造 或加工必須時 使用。"
012,,"甜菊醣苷 Steviol Glycoside","1. 本品可使用於瓜子、蜜餞及梅 粉中視實際需要適量使用。 2. 本品可使用於代糖錠劑及其粉 末。 3. 本品可使用於特殊營養食品。 4. 本品可使用於豆品及乳品飲料 、發酵乳及其製品、冰淇淋、糕餅、口香糖、糖果、點心零食及榖類早餐，用量為0.05％以下。 5. 本品可使用於飲料、醬油、調 味醬及醃製蔬菜，用量為0.1％以 下。","使用於特殊營 養食品時，必 須事先獲得中 央主管機關之 核准。"
013,,"甘草萃 Licorice Extracts",本品可於各類食品中視實際需要適量使用。,"不得使用於代 糖錠劑及粉末 。"
014,,"醋磺內酯鉀 Acesulfame Potassium",本品可於各類食品中視實際需要適量使用。,"1. 使用於特殊營 養食品時，必 須事先獲得中 央主管機關之 核准。 2. 生鮮禽畜肉類 不得使用。"
015,,"甘草酸銨 Ammoniated Glycyrrhizin",本品可於各類食品中視實際需要適量使用。,"不得使用於代 糖錠劑及粉末 。"
016,,"甘草酸一銨 Monoammonium Glycyrrhizinate",本品可於各類食品中視實際需要適量使用,"不得使用於代 糖錠劑及粉末 。"
017,,"麥芽糖醇 Maltitol",本品可於各類食品中視實際需要適量使用。,"1. 限於食品製造 或加工必須時 使用。 2. 嬰兒食品不得 使用。"
018,,"麥芽糖醇糖漿（氫化葡萄糖漿）MaltitolSyrup (Hydrogenated Glucose Syrup)",本品可於各類食品中視實際需要適量使用。,"1. 限於食品製造 或加工必須時 使用。 2. 嬰兒食品不得 使用。"
019,,"異麥芽酮糖醇（巴糖醇）Isomalt (Hydrogenated Palatinose)",本品可於各類食品中視實際需要適量使用。,"1. 限於食品製造 或加工必須時 使用。 2. 嬰兒食品不得 使用。"
020,,"乳糖醇 Lactitol",本品可於各類食品中視實際需要適量使用。,"1. 限於食品製造 或加工必須時 使用。 2. 嬰兒食品不得 使用。"
021,,"單尿甘酸甘草酸 Monoglucuronyl Glycyrrhetic Acid",本品可於各類食品中視實際需要適量使用。,"不得使用於代 糖錠劑及粉末 。"
022,,"索馬甜 Thaumatin",本品可於各類食品中視實際需要適量使用。,"限於食品製造 或加工必須時 使用。"
023,,"赤藻糖醇 Erythritol",本品可於各類食品中視實際需要適量使用。,
024,,"蔗糖素 Sucralose",本品可於各類食品中視實際需要適量使用。,"使用於特殊營 養食品時，必 須事先獲得中 央主管機關之 核准。"
"025     備註： 1. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。 2. 同一食品依表列使用範圍規定混合使用甜味劑時，每一種甜味劑之使用量除以 其用量標準所得之數值（即使用量／用量標準）總和不得大於1。",,"紐甜 Neotame",本品可於各類食品中視實際需要適量使用。,"使用於特殊營 養食品時，必 須事先獲得中 央主管機關之 核准。"
