編號,公告日期,品名,使用食品範圍及限量標準,使用限制
011,,"氰鈷胺明   (維生素Ｂ12) Cyanocobalamin （Vitamin B12 ）     ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｂ12之總含量不得高於1000μg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素 Ｂ12之總含量不得高於3.6μg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｂ12之總含量不得高於1.35μg。","限於補充食品 中不足之營養 素時使用。"
012,,"抗壞血酸   （維生素C ） Ascorbic Acid （Vitamin C）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素C之總含量不得高於1000mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素C之總含量不得高於150mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素C之總含量不得高於60mg。","限於補充食品 中不足之營養 素時使用。"
013,,"抗壞血酸鈉   （維生素C） Sodium Ascorbate    （VitaminC）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素C之總含量不得高於1000mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素C之總含量不得高於150mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素C之總含量不得高於60mg。","限於補充食品 中不足之營養 素時使用。"
014,,"L-抗壞血酸硬脂酸酯     （維生素C） L-Ascorbyl Stearate     （Vitamin C）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素C之總含量不得高於1000mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素C之總含量不得高於150mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素C之總含量不得高於60mg。","限於補充食品 中不足之營養 素時使用。"
015,,"L-抗壞血酸棕櫚酸酯      （維 生素C） L-Ascorbyl Palmitate（VitaminC）     ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素C之總含量不得高於1000mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素C之總含量不得高於150mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素C之總含量不得高於60mg。","限於補充食品 中不足之營養 素時使用。"
016,,"鈣化醇     （維生素Ｄ2） Calciferol （Vitamin D2）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｄ之總含量不得高於800I.U.（20μg）。 2.其他一般食品及嬰兒(輔助)食品，在每 日食用量或每300g食品(未標示每日食用量者)中，其維生素Ｄ之總含量不得高於15μg。","限於補充食品 中不足之營養 素時使用。"
017,,"膽鈣化醇   （維生素Ｄ3） Cholecalciferol （Vitamin D3）        ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素 Ｄ之總含量不得高於800I.U.（20μg）。 2. 其他一般食品及嬰兒(輔助)食品，在每日 食用量或每300g食品(未標示每日食用量者)中，其維生素Ｄ之總含量不得高於15μg。","限於補充食品 中不足之營養 素時使用。"
018,,"生育醇     （維生素Ｅ） dl-α-Tocopherol （Vitamin E）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素E之總含量不得高於400I.U.（268mg d-α-tocopherol）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素E之總含量不得高於18mgα-T.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素E之總含量不得高於7.5mgα-T.E.。","限於補充食品 中不足之營養 素時使用。"
020,,"（高阿爾發類）混合濃縮生育醇 （維生素E）     Tocopherols Concentrate Mixed（High-α-type）    （Vitamin E）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素E之總含量不得高於400I.U.（268mg d-α-tocopherol）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素E之總含量不得高於18mgα-T.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素E之總含量不得高於7.5mgα-T.E.。","限於補充食品 中不足之營養 素時使用。"
021,,"濃縮d-α-生育醇（維生素E） d-α-Tocopherol Concentrate（Vitamin E）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素E之總含量不得高於400I.U.（268mg d-α-tocopherol）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素E之總含量不得高於18mgα-T.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素E之總含量不得高於7.5mgα-T.E.。","限於補充食品 中不足之營養 素時使用。"
022,,"乙酸d-α-生育醇酯（維生素E） d-α-Tocopheryl Acetate      （Vitamin E）   ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素E之總含量不得高於400I.U.（268mg d-α-tocopherol）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素E之總含量不得高於18mgα-T.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素E之總含量不得高於7.5mgα-T.E.。","限於補充食品 中不足之營養 素時使用。"
023,,"乙酸dl-α-生育醇酯     （維生 素E） dl-α-Tocopheryl Acetate （Vitamin E）       ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素E之總含量不得高於400I.U.（268mg d-α-tocopherol）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素E之總含量不得高於18mgα-T.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素E之總含量不得高於7.5mgα-T.E.。","限於補充食品 中不足之營養 素時使用。"
024,,"濃縮乙酸d-α-生育醇酯d-α（維生素E）-Tocopheryl Acetate  Concentrate  （Vitamin E）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素E之總含量不得高於400I.U.（268mg d-α-tocopherol）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素E之總含量不得高於18mgα-T.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素E之總含量不得高於7.5mgα-T.E.。","限於補充食品 中不足之營養 素時使用。"
025,,"酸式丁二酸d-α-生育醇酯 （維生素E） d-α-Tocopheryl Acid Succinate（Vitamin E）   ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素E之總含量不得高於400I.U.（268mg d-α-tocopherol）。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素E之總含量不得高於18mgα-T.E.。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素E之總含量不得高於7.5mgα-T.E.。","限於補充食品 中不足之營養 素時使用。 "
026,,"菸鹼酸 Nicotinic Acid","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其菸鹼素之 總含量不得高於100 mg N.E.。 其他一般食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其菸鹼素之總含量不得高於25.5 mg N.E.。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其菸鹼素之總含量不得高於12 mg N.E.。","限於補充食品 中不足之營養 素時使用。"
027,,"菸鹼醯胺 Nicotinamide (Niacinamide)","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其菸鹼素之 總含量不得高於100 mg N.E.。 其他一般食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其菸鹼素之總含量不得高於25.5 mg N.E.。 3. 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其菸鹼素之總含量不得高於12 mg N.E.。","限於補充限於 補充食品中不 足之營養素時 使用。"
028,,"葉酸         Folic Acid  ","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其葉酸之 總含量不得高於800μg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其葉酸之 總含量不得高於600μg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其葉酸之總含量不得高於225μg。","限於補充食品 中不足之營養 素時使用。"
029,,"抗壞血酸鈣   （維生素C） Calcium Ascorbate    （Vitamin C）","1.形態屬膠囊狀、錠狀且標示有每日食用 限量之食品，在每日食用量中，其維生素C之總含量不得高於1000mg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其維生素C之總含量不得高於150mg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其維生素C之總含量不得高於60mg。","限於補充食品 中不足之營養 素時使用。"
030,,"氧化鈣       Calcium Oxide","1.一般食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鈣之總含量不得高於1800mg。 2.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鈣之總含量不得高於750mg。","限於補充食品 中不足之營養 素時使用。"
031,,"碳酸鈣       Calcium Carbonate","1.一般食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鈣之總含量不得高於1800mg。 2.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鈣之總含量不得高於750mg。","限於補充食品 中不足之營養 素時使用。"
032,,"還原鐵 Iron, Reduced","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",032
033,,"焦磷酸鐵 Ferric Pyrophosphate (Iron Pyrophosphate)","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",033
034,,"羰基鐵 Iron, Carbonyl","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",034
035,,"電解鐵 Iron, Electrolytic","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",035
036,,"檸檬酸鐵銨 Ferric Ammonium Citrate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15mg。",036
037,,"氯化鐵 Ferric Chloride","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",037
038,,"檸檬酸鐵 Ferric Citrate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",038
039,,"硫酸亞鐵 Ferrous Sulfate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",039
040,,"乳酸亞鐵 Ferrous Lactate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",040
041,,"檸檬酸亞鐵納 (琥珀酸檸檬酸鐵 納) Sodium Ferrous Citrate (Iron and Sodium Succinate Citrate)","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鐵之總含 量不得高於45 mg。 一般食品，在每日食用量或每300 g食品( 未標示每日食用量者)中，其鐵之總含量不得高於22.5 mg。 嬰兒(輔助)食品，在每日食用量或每300 g食品(未標示每日食用量者)中，其鐵之總含量不得高於15 mg。",041
042,,"碘化鉀       Potassium Iodide      ","1.本品可使用於食鹽；用量為16～27mg/kg。 2.其他一般食品，在每日食用量或每300g 食品(未標示每日食用量者)中，其碘之總 含量不得高於195μg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其碘之總含量不得高於97.5μg。","限於補充食品 中不足之營養 素時使用。"
043,,"碘酸鉀       Potassium Iodate      ","1.本品可使用於食鹽；用量為20～35mg/kg。 2.一般食品，在每日食用量或每300g食品(未標示每日食用量者)中，其碘之總含量不得高於195μg。 3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其碘之總含量不得高於97.5μg。","限於補充食品 中不足之營養 素時使用。"
044,,"甲基柑果（維生素P）  Methyl Hesperidin  ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
045,,"維生素K3 Menadione (Vitamin K3)","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其維生素K3 之總含量不得高於500 μg。 本品可使用於一般食品中以補充不足之營 養素。在每日食用量中，其維生素K3之總 含量不得高於140 μg；未標示每日食用量 者，每300 g食品中維生素K3之總含量不得高於140 μg。 本品可使用於嬰兒(輔助)食品中以補充不 足之營養素。在每日食用量中，其維生素K3之總含量不得高於20 μg；未標示每日食 用量者，每300 g食品中維生素K3之總含量不得高於20 μg 。","限於補充食品 中不足之營養 素時使用。"
046,,"亞麻油二烯酸甘油酯 Triglyceryl Linoleate         ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
047,,"鹽酸L-組織胺酸  L-Histidine Mono-hydrochloride","本品可於各類食品中視實際需要適量使用 。 ","限於補充食品 中不足之營養 素時使用。"
048,,"L-異白胺酸   L-Isoleucine","本品可於各類食品中視實際需要適量使用 。       　","限於補充食品 中不足之營養 素時使用。"
049,,"DL-色胺酸    DL-Tryptophan","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
050,,"L-色胺酸     L-Tryptophan","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
051,,"L-α胺基異戊酸           L-Valine    ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
052,,"L-二胺基己酸 L-Lysine    ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
053,,"L-二胺基己酸 L-麩酸酯     L-Lysine     L-Glutamate ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
054,,"鹽酸L-二胺基己酸 L-Lysine Monohydro-chloride            ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
055,,"DL-蛋胺酸    DL-Methionine","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
056,,"L-蛋胺酸     L-Methionine","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
057,,"L-苯丙胺酸   L-Phenylalanine","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
058,,"DL-羥丁胺酸  DL-Threonine","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
059,,"L-羥丁胺酸   L-Threonine ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
060,,"生物素       Biotin      ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
061,,"本多酸鈉     Sodium Pantothenate","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
062,,"本多酸鈣     Calcium Pantothenate","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
063,,"氯化鉀       Potassium Chloride    ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
064,,"硫酸鎂       Magnesium Sulfate     ","1.本品可使用於一般食品中以補充不足之 營養素。在每日食用量中，其鎂之總含量 不得高於600mg ；未標示每日食用量者， 每300g食品中鎂之總含量不得高於600mg。2.本品可使用於嬰兒（輔助）食品中以補 充不足之營養素。在每日食用量中，其鎂 之總含量不得高於105mg ；未標示每日食 用量者，每300g食品中鎂之總含量不得高 於105mg。","限於補充食品 中不足之營養 素時使用。"
065,,"肌醇         Inositol    ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
066,,"重酒石酸鹼 Choline Bitartrate  ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
067,,"氯化膽鹼 Choline Chloride    ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
068,,"硫酸鋅 Zinc Sulfate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鋅之總含 量不得高於30 mg。 本品可使用於一般食品中以補充不足之營 養素。在每日食用量中，其鋅之總含量不 得高於22.5 mg；未標示每日食用量者，每300 g食品中鋅之總含量不得高於22.5 mg。 本品可使用於嬰兒(輔助)食品中以補充不 足之營養素。在每日食用量中，其鋅之總 含量不得高於7.5 mg；未標示每日食用量 者，每300 g食品中鋅之總含量不得高於7.5 mg。","限於補充食品 中不足之營養 素時使用。"
069,,"氯化鋅 Zinc Chloride","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鋅之總含 量不得高於30 mg。 本品可使用於一般食品中以補充不足之營 養素。在每日食用量中，其鋅之總含量不 得高於22.5 mg；未標示每日食用量者，每300 g食品中鋅之總含量不得高於22.5 mg。 本品可使用於嬰兒(輔助)食品中以補充不 足之營養素。在每日食用量中，其鋅之總 含量不得高於7.5 mg；未標示每日食用量 者，每300 g食品中鋅之總含量不得高於7.5 mg。","限於補充食品 中不足之營養 素時使用。"
070,,"葡萄糖酸鋅 Zinc Gluconate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鋅之總含 量不得高於30 mg。 本品可使用於一般食品中以補充不足之營 養素。在每日食用量中，其鋅之總含量不 得高於22.5 mg；未標示每日食用量者，每300 g食品中鋅之總含量不得高於22.5 mg。 本品可使用於嬰兒(輔助)食品中以補充不 足之營養素。在每日食用量中，其鋅之總 含量不得高於7.5 mg；未標示每日食用量 者，每300 g食品中鋅之總含量不得高於7.5 mg。","限於補充食品 中不足之營養 素時使用。"
071,,"氧化鋅 Zinc Oxide","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鋅之總含 量不得高於30 mg。 本品可使用於一般食品中以補充不足之營 養素。在每日食用量中，其鋅之總含量不 得高於22.5 mg；未標示每日食用量者，每300 g食品中鋅之總含量不得高於22.5 mg。 本品可使用於嬰兒(輔助)食品中以補充不 足之營養素。在每日食用量中，其鋅之總 含量不得高於7.5 mg；未標示每日食用量 者，每300 g食品中鋅之總含量不得高於7.5 mg。","限於補充食品 中不足之營養 素時使用。"
072,,"硬脂酸鋅 Zinc Stearate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其鋅之總含 量不得高於30 mg。 本品可使用於一般食品中以補充不足之營 養素。在每日食用量中，其鋅之總含量不 得高於22.5 mg；未標示每日食用量者，每300 g食品中鋅之總含量不得高於22.5 mg。 本品可使用於嬰兒(輔助)食品中以補充不 足之營養素。在每日食用量中，其鋅之總 含量不得高於7.5 mg；未標示每日食用量 者，每300 g食品中鋅之總含量不得高於7.5 mg。","限於補充食品 中不足之營養 素時使用。"
073,,"硫酸銅 Copper Sulfate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其銅之總含 量不得高於8 mg。 本品可使用於一般食品中以補充不足之營 養素。在每日食用量中，其銅之總含量不 得高於2.5 mg；未標示每日食用量者，每300 g食品中銅之總含量不得高於2.5 mg。 本品可使用於嬰兒(輔助)食品中以補充不 足之營養素。在每日食用量中，其銅之總 含量不得高於1.0 mg；未標示每日食用量 者，每300 g食品中銅之總含量不得高於1.0 mg。","限於補充食品 中不足之營養 素時使用。"
074,,"葡萄糖酸銅 Copper Gluconate","形態屬膠囊狀、錠狀且標示有每日食用限 量之食品，在每日食用量中，其銅之總含 量不得高於8 mg。 本品可使用於一般食品中以補充不足之營 養素。在每日食用量中，其銅之總含量不 得高於2.5 mg；未標示每日食用量者，每300 g食品中銅之總含量不得高於2.5 mg。 本品可使用於嬰兒(輔助)食品中以補充不 足之營養素。在每日食用量中，其銅之總 含量不得高於1.0 mg；未標示每日食用量 者，每300 g食品中銅之總含量不得高於1.0 mg。","限於補充食品 中不足之營養 素時使用。"
075,,"維生素K1     Phylloquinone （Vitamin K1）            ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
076,,"維生素K2     Menaquinone （Vitamin K2）            ","本品可於各類食品中視實際需要適量使用 。      ","限於補充食品 中不足之營養 素時使用。"
