編號,公告日期,品名,使用食品範圍及限量標準,使用限制
011,,"對羥苯甲酸丙酯Propyl p-Hydroxy-benzoate","1. 本品可使用於豆皮豆乾類及醬油；用量以p-Hydroxybenzoic Acid 計為0.25g/kg以下。2. 本品可使用於醋及不含碳酸飲料；用量以 p-Hydroxybenzoic Acid計為0.10g/kg以下。3. 本品可使用於鮮果及果菜之外皮；用量以 p-Hydroxybenzoic Acid計為0.012g/kg以下。 ",
012,,"對羥苯甲酸丁酯Butyl p-Hydroxy-benzoate","1. 本品可使用於豆皮豆乾類及醬油；用量以p-Hydroxybenzoic Acid計為0.25g/kg以下。2. 本品可使用於醋及不含碳酸飲料；用量以 p-Hydroxybenzoic Acid計為0.10g/kg以下。3. 本品可使用於鮮果及果菜之外皮；用量以 p-Hydroxybenzoic Acid計為0.012g/kg以下。 ",
013,,"對羥苯甲酸異丙酯 Isopropyl p-Hydroxybenzoate","1. 本品可使用於豆皮豆乾類及醬油；用量以p-Hydroxybenzoic Acid計為0.25g/kg以下。2. 本品可使用於醋及不含碳酸飲料；用量以 p-Hydroxybenzoic Acid計為0.10g/kg以下。3. 本品可使用於鮮果及果菜之外皮；用量以 p-Hydroxybenzoic Acid計為0.012g/kg以下。 ",
014,,"對羥苯甲酸異丁酯 Isobutyl p-Hydroxy-benzoate","1. 本品可使用於豆皮豆乾類及醬油；用量以p-Hydroxybenzoic Acid計為0.25g/kg以下。2. 本品可使用於醋及不含碳酸飲料；用量以 p-Hydroxybenzoic Acid計為0.10g/kg以下。3. 本品可使用於鮮果及果菜之外皮；用量以 p-Hydroxybenzoic Acid計為0.012g/kg以下。 ",
015,,"聯苯 Biphenyl",本品限用於葡萄、柚、檸檬及柑桔外敷之紙張；用量為0.07g/kg以下(以殘留量計)。 ,
016,,"二醋酸鈉 Sodium Diacetate(Sodium Hydrogen Diacetate)","1. 本品可使用於包裝烘焙食品；用量0.40％以下.2. 本品可使用於包裝之肉汁及調味汁；用量為0.25％以下。3. 本品可使用於包裝之油脂、肉製品及軟糖果；用量為0.10％以下。4. 本品可使用於包裝之點心食品、湯及湯粉；用量為0.05％以下。 ",
017,,"己二烯酸鈣 Calcium Sorbate","本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、醬菜類、水分含量25％以上(含25％)之蘿蔔乾、醃漬蔬菜、豆皮豆乾類及乾酪；用量以Sorbic Acid計為2.0g/kg以下。本品可使用於煮熟豆、醬油、味噌、烏魚子、魚貝類乾製品、海藻醬類、豆腐乳、糖漬果實類、脫水水果、糕餅、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Sorbic Acid計為1.0g/kg以下。本品可使用於不含碳酸飲料、碳酸飲料；用量以Sorbic Acid 計為0.5g/kg以下。本品可使用於膠囊狀、錠狀食品；用量以Sorbic Acid 計為2.0 g/kg以下。 ",
018,,"苯甲酸鉀 Potassium Benzoate","本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、乾酪、糖漬果實類、脫水水果、水分含量25％以上（含25％）之蘿蔔乾、煮熟豆、味噌、海藻醬類、豆腐乳、糕餅、醬油、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Benzoic Acid計為1.0g/kg以下。本品可使用於烏魚子、魚貝類乾製品、碳酸飲料、不含碳酸飲料、醬菜類、豆皮豆乾類、醃漬蔬菜；用量以Benzoic Acid為0.6g/kg以下。3.本品可使用於膠囊狀、錠狀食品；用量以Benzoic Acid計為2.0 g/kg以下。 ",
019,,乳酸鏈球菌素Nisin,"本品可使用於乾酪及其加工製品；用量為0.25g/ kg以下。 ",
020,,"雙十二烷基硫酸硫胺明（雙十二烷基硫酸胺）Thiamine Dilauryl-sulfate","本品可使用於醬油；用量以 Laurylsulfat計為0.01 g/kg以下。限用為防腐劑",
021,,"丙酸 Propionic Acid","本品可使用於麵包及糕餅；用量以Propionic Acid計為2.5g/kg以下。 ",
022,,鏈黴菌素Natamycin（Pimaricin）,"本品可使用於乾酪及經醃漬、乾燥而未加熱處理之加工禽畜肉製品；用量在20 mg/kg以下。 ",
023,,"對羥苯甲酸甲酯 Methyl p-Hydroxybenzoate","本品可使用於豆皮豆乾類及醬油；用量以p-Hydroxybenzoic Acid計為0.25 g/kg以下。本品可使用於醋及不含碳酸飲料；用量以p-Hydroxybenzoic Acid計為0.10 g/kg以下。3. 本品可使用於鮮果及果菜之外皮；用量以p-Hydroxybenzoic Acid計為0.012 g/kg以下。",
024,,"二甲基二碳酸酯 (二碳酸二甲酯) Dimethyl Dicarbonate","本品可使用於調味飲料，用量在250 mg/kg以下。本品限用於以水為基底之液態飲料，於最終產品中不得有二甲基二碳酸酯殘留物檢出。備 註罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。 本表所稱之食品名稱定義「煮熟豆」係指經煮熟調味之豆類，包括豆餡。「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖漿中,其總糖度應在50°Brix以上，可供稀釋飲用者。「含果汁之碳酸飲料」係指含5％ 以上天然果汁之碳酸飲料。「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防止外 界微生物之再污染且可達到保存目的之食品。本表為正面表列，非表列之食品品項，不得使用該食品添加物。",
