編號,公告日期,品名,使用食品範圍及限量標準,使用限制
046,"76. 7. 22","香茅醇 Citronellol",本品可於各類食品中視實際需要適量使用。,限用為香料。
047,"76. 7. 22","香茅醛 Citronellal",本品可於各類食品中視實際需要適量使用。,限用為香料。
048,"76. 7. 22","香葉草醇 Geraniol",本品可於各類食品中視實際需要適量使用。,限用為香料。
049,"76. 7. 22","香莢蘭醛 Vanill",本品可於各類食品中視實際需要適量使用。,限用為香料。
050,"76. 7. 22","桂皮醛 Cinnamic Aldehyde",本品可於各類食品中視實際需要適量使用。,限用為香料。
051,"76. 7. 22","桂皮醇 Cinnamyl Alcohol",本品可於各類食品中視實際需要適量使用。,限用為香料。
052,"76. 7. 22","桂皮酸 Cinnamic Acid",本品可於各類食品中視實際需要適量使用。,限用為香料。
053,"76. 7. 22","桂皮酸甲酯 Methyl Cinnamate",本品可於各類食品中視實際需要適量使用。,限用為香料。
054,"76. 7. 22","桂皮酸乙酯 Ethyl Cinnamate",本品可於各類食品中視實際需要適量使用。,限用為香料。
055,"76. 7. 22","癸醛 Decyl Aldehyde",本品可於各類食品中視實際需要適量使用。,限用為香料。
056,"76. 7. 22","癸醇 Decyl Alcohol",本品可於各類食品中視實際需要適量使用。,限用為香料。
057,"76. 7. 22","桉葉油精 Eucalyptol（Cincol）",本品可於各類食品中視實際需要適量使用。,限用為香料。
058,"76. 7. 22","異丁香醇 Isoeugenol",本品可於各類食品中視實際需要適量使用。,限用為香料。
059,"76. 7. 22","異戊酸乙酯 Ethyl Isovalerate",本品可於各類食品中視實際需要適量使用。,限用為香料。
060,"76. 7. 22","異戊酸異戊酯 Isoamyl Iso-valerate",本品可於各類食品中視實際需要適量使用。,限用為香料。
061,"76. 7. 22","異硫氰酸丙烯酯 Allyl Iso-thiocyanate",本品可於各類食品中視實際需要適量使用。,限用為香料。
062,"76. 7. 22","麥芽醇 Maltol",本品可於各類食品中視實際需要適量使用。,限用為香料。
063,"76. 7. 22","乙基麥芽醇 Ethyl Maltol",本品可於各類食品中視實際需要適量使用。,限用為香料。
064,"76. 7. 22","胺基苯甲酸甲酯 Methyl Anthranilate",本品可於各類食品中視實際需要適量使用。,限用為香料。
065,"76. 7. 22","羥香茅醛 Hydroxy Citronellal",本品可於各類食品中視實際需要適量使用。,限用為香料。
066,"76. 7. 22","羥香茅二甲縮醛 Hydroxy Citronellal Dimethyl Acetal",本品可於各類食品中視實際需要適量使用。,限用為香料。
067,"76. 7. 22","l-柴蘇醛 l-Perill-aldehyde",本品可於各類食品中視實際需要適量使用。,限用為香料。
068,"76. 7. 22","紫羅蘭酮 Ionone",本品可於各類食品中視實際需要適量使用。,限用為香料。
069,"76. 7. 22","對甲基苯乙酮 p-Methyl Acetophenone",本品可於各類食品中視實際需要適量使用。,限用為香料。
070,"76. 7. 22","dl-薄荷腦 dl-Menthol",本品可於各類食品中視實際需要適量使用。,限用為香料。
071,"76. 7. 22","l-薄荷腦 l-Menthol",本品可於各類食品中視實際需要適量使用。,限用為香料。
072,"76. 7. 22","α-戊基桂皮醛 α-Amyl Cinnamic Aldehyde",本品可於各類食品中視實際需要適量使用。,限用為香料。
073,"76. 7. 22","檸檬油醛 Citral",本品可於各類食品中視實際需要適量使用。,限用為香料。
074,"76. 7. 22","環己丙酸丙烯酯 Allyl Cyclohexyl Pro-pionate",本品可於各類食品中視實際需要適量使用。,限用為香料。
075,"76. 7. 22","d-龍腦 d-Borneol",本品可於各類食品中視實際需要適量使用。,限用為香料。
076,"76. 7. 22","安息香 Benzoin",本品可於各類食品中視實際需要適量使用。,限用為香料。
077,"76. 7. 22","酯類 Esters",本品可於各類食品中視實際需要適量使用。,限用為香料。
078,"76. 7. 22","醚類 Ethers",本品可於各類食品中視實際需要適量使用。,限用為香料。
079,"76. 7. 22","酮類 Ketones",本品可於各類食品中視實際需要適量使用。,限用為香料。
080,"76. 7. 22","脂肪酸類 Fatty Acids",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
081,"76. 7. 22","高級脂肪族醇類 Higher Aliphatic Alcohols",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
082,"76. 7. 22","高級脂肪族醛類 Higher Aliphatic Aldehydes",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
083,"76. 7. 22","高級脂肪族碳氫化合物類 Higher Aliphatic Hydrocarbons",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
084,"76. 7. 22","硫醇類 Thio-Alcohols",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
085,"76. 7. 22","硫醚類 Thio-Ethers",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
086,"76. 7. 22","酚類 Phenols",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
087,"76. 7. 22","芳香族醇類 Aromatic Alcohols",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
088,"76. 7. 22","芳香族醛類 Aromatic Aldehydes",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
089,"76. 7. 22","內酯類 Lactones",本品可於各類食品中視實際需要適量使用。,一般認為安全無慮者始准使用。
"090  編 號    ","79. 1 .19 公告日 期   77. 8. 19.","L-半胱氨酸鹽酸鹽 L-Cysteine Monohydro- chloride 品名    松蕈酸 Agaric acid）  蘆薈素 (Aloin） β- 杜衡精 (β- Asarone） 小檗鹼 (Berberine） 古柯鹼 (Cocaine） 香豆素 (Coumarin） 總氫氰酸 (Total Hydrocyanic Acid） 海棠素 (Hypericine） 蒲勒酮 (Pulegone） 苦木素 (Quassine） 奎寧 (Quinine） 黃樟素 (Safrole） 山道年 (Santonin） 酮（α與β） (Thujones，αandβ）","本品可於各類食品中視實際需要適量使用。 使用範 圍   飲 料","一般認為安全無慮者始准使用。 限量標準 〈mg / kg〉 20  0.10 0.10 0.10 不得檢出2.0 1.0  0.10 100 5 85 1.0 0.10 0.5"
