編號,公告日期,品名,使用食品範圍及限量標準,使用限制
064,,"硬脂酸鉀 Potassium Stearate",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
065,,"羥丙基纖維素Hydroxypropyl Cellulose",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
066,,"羥丙基甲基纖維素Hydroxypropyl Methylcellulose（Propylene Glycol Ether of Methylcellulose）",本品可於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
067,,"聚糊精 Polydextrose",本品可於各類食品中視實際需要適量使用。,一次食用量中本品含量超過15公克之食品，應顯著標示「過量食用對敏感者易引起腹瀉」。
068,,"食用石膏 Food Gypsum",本品可使用於豆花、豆腐及其製品；用量以Ca計為10g/kg以下。,
069,,"酸性白土（活性白 土）Acid Clay （Active Clay）",本品可使用於油脂之精製；於油脂中之殘留量應在1.0g/kg以下。,
070,,"酸性焦磷酸鈉 Disodium Dihydrogen Pyrophosphate",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
071,,"棕櫚蠟 Carnauba Wax",本品可於糖果（包括口香糖及巧克力）、膠囊狀及錠狀食品中視實際需要適量使用。,
072,,"焦磷酸鉀 Potassium Pyrophosphate",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
073,,"焦磷酸鈉 Sodium Pyrophosphate",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
074,,"焦磷酸鈉（無水） Sodium Pyrophosphate (Anhydrous)",本品可使用於各類食品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
075,,"無水氯化鈣 Calcium Chloride ，Anhydrous",本品可使用於各類食品；用量以Ca計為10g/kg以下。,限於食品製造或加工必須時使用。
076,,"三偏磷酸鈉 Sodium Trimetaphosphate",本品可使用於米製品、澱粉製品及麵粉製品；用量以Phosphate計為3g/kg以下。,限於食品製造或加工必須時使用。
077,,"（尿素）胺甲醯胺 （Urea）Carbamide",本品可使用於口香糖或泡泡糖；用量為30g/kg以下。,限於食品製造或加工必須時使用。
078,,偶氮二甲醯胺Azodicarbonamide,本品可使用於麵粉；用量為45mg/kg以下。,限於食品製造或加工必須時使用。
079,,"過氧化苯甲醯 Benzoyl Peroxide",本品可使用於麵粉；用量為60mg/kg以下。,限於食品製造或加工必須時使用。
080,,"交聯羧甲基纖維素 鈉（Cross-Linked Sodium Carboxymethyl Cellulose）",本品可使用於錠狀食品；用量為50g/kg以下。,
081,,"聚麩胺酸鈉 （Sodium γ-Polyglutamate）","本品可使用於麵條；用量為2％以 下。 本品可使用於烘焙食品及豆乾；用量為0.5％以下。 本品可使用於粉圓及魚板；用量為0.1％以下。 本品可使用於仙草；用量為0.05％以下。 本品可使用於發酵乳；用量為0.13％以下。 本品可使用於豆腐；用量為0.1％ 以下。 本品可使用於蛋製品；用量為0.4 ％以下。 本品可使用於米食；用量為0.1％ 以下。",限於食品製造或加工必須時使用。
082,,"聚乙烯吡咯烷酮 （Polyvinyl- pyrrolidone）","本品可使用於錠狀食品；用量為5 ％以下。",
083,,"硬脂酸鈣(Calcium Stearate)",本品可用於各類食品中視實際需要適量使用。,限於食品製造或加工必須時使用。
084,,"亞鐵氰化鉀 Potassium Ferrocyanide","本品可使用於食鹽；用量以Anhydrous Sodium Ferrocyanide計為13mg/kg以下。",限於食品製造或加工必須時使用。
085,,"亞鐵氰化鈣 Sodium Ferrocyanide","本品可使用於食鹽；用量以Anhydrous Sodium Ferrocyanide計為13mg/kg以下。",限於食品製造或加工必須時使用。
086,,"蓖麻油 Castor Oil","本品可使用於膠囊狀、錠狀食品；用量為1 g/kg以下。",限於食品製造或加工必須時使用。
087,,"D-山梨醇 D-Sorbitol",本品可於各類食品中視實際需要適量使用。,"1.限於食品製造或加工必須時使用。 2. 嬰兒食品 不得使用。"
088,,"D-山梨醇液70% D-Sorbitol Solution 70%",本品可於各類食品中視實際需要適量使用。,"1. 限於食品 製造或加工必須時使用。 2. 嬰兒食品 不得使用。"
089,,"D-木糖醇 D-Xylitol",本品可於各類食品中視實際需要適量使用。,"1. 限於食品 製造或加工必須時使用。 2. 嬰兒食品 不得使用。"
090,,"D-甘露醇 D-Mannitol",本品可於各類食品中視實際需要適量使用。,"1. 限於食品 製造或加工必須時使用。 2. 嬰兒食品 不得使用。"
091,,"麥芽糖醇 Maltitol",本品可於各類食品中視實際需要適量使用。,"1. 限於食品 製造或加工必須時使用。 2. 嬰兒食品 不得使用。"
092,,"麥芽糖醇糖漿（氫 化葡萄糖漿）Maltitol Syrup (Hydrogenated Glucose Syrup)",本品可於各類食品中視實際需要適量使用。,"1. 限於食品 製造或加工必須時使用。 2. 嬰兒食品 不得使用。"
093,,"異麥芽酮糖醇（巴 糖醇）Isomalt (Hydrogenated Palatinose)",本品可於各類食品中視實際需要適量使用。,"1. 限於食品 製造或加工必須時使用。 2. 嬰兒食品 不得使用。"
094,,"乳糖醇 Lactitol",本品可於各類食品中視實際需要適量使用。,"1. 限於食品 製造或加工必須時使用。 2. 嬰兒食品 不得使用。"
095,,"赤藻糖醇 Erythritol",本品可於各類食品中視實際需要適量使用。,
096,,"檸檬酸三乙酯Triethyl citrate","本品可使用於膠囊狀、錠狀食品；用量為3.5 g/kg以下。",限於食品製造或加工必須時使用。
